Authors,Title,Reject,Year,Source,Publisher,ArticleURL
"R Borromeo, M Matsubara, ...",Task Assignment Strategies for Crowd Worker Ability Improvement,1,2021,The 24th ACM …,hal.archives-ouvertes.fr,https://hal.archives-ouvertes.fr/hal-03379748/
"S Bhaduri, LL Biddy, M Rummel, JB Bush, ...",Integrating Professional Mentorship with a 3D-Printing Curriculum to Help Rural Youth Forge STEM Career Connections,1,2021,2021 ASEE Virtual …,peer.asee.org,https://peer.asee.org/integrating-professional-mentorship-with-a-3d-printing-curriculum-to-help-rural-youth-forge-stem-career-connections
"B Tabuenca, S Serrano-Iglesias, ...",Affordances and core functions of smart learning environments: A systematic literature review,1,2021,IEEE Transactions …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9384279/
"P Sandhya, AM Mujumdar, A Biswas",Cognitive Computing and Its Applications,1,2021,Analyzing Future Applications …,igi-global.com,https://www.igi-global.com/chapter/cognitive-computing-and-its-applications/262826
"SD Craig, RF Siegel, S Li",An Application of the Learning Science Evaluation Checklist: Use Case Report,1,2021,,apps.dtic.mil,https://apps.dtic.mil/sti/citations/AD1141190
"W Mayrhofer, S Nixdorf, C Fischer, T Zigart, ...","Learning Nuggets for Cobot Education: A Conceptual Framework, Implementation, and Evaluation of Adaptive Learning Content",1,2021,"… , and Evaluation of …",papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3868713
"CC Haynes, NJ Magyar",codespec: an Adaptive Computer Programming Practice Environment,1,2021,,,
"SJ Yu, YL Hsueh, JCY Sun, HZ Liu",Developing an intelligent virtual reality interactive system based on the ADDIE model for learning pour-over coffee brewing,1,2021,Computers and Education: Artificial …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2666920X21000242
G Stahl,Redesigning mathematical curriculum for blended learning,1,2021,Education Sciences,mdpi.com,https://www.mdpi.com/1057894
"A Syzdykbayeva, A Baikulova, ...",Introduction of Artificial Intelligence as the Basis of Modern Online Education on the Example of Higher Education,1,2021,… Conference on Smart …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9465974/
"T Bartindale, P Chen, H Marshall, ...",ZoomSense: A Scalable Infrastructure for Augmenting Zoom,1,2021,Proceedings of the 29th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3474085.3478332
"Y Wang, S Lu, D Harter",Multi-sensor eye-tracking systems and tools for capturing Student attention and understanding engagement in learning: A review,1,2021,IEEE Sensors Journal,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9516012/
"BJ Jansen, S Jung, J Salminen, ...",Strengths and weaknesses of persona creation methods: Guidelines and opportunities for digital innovations,1,2021,… of the 54th …,scholarspace.manoa.hawaii.edu,https://scholarspace.manoa.hawaii.edu/handle/10125/71222
S Jagannathan,The Future of Learning is here–are you Ready?,1,2021,Reimagining Digital Learning for Sustainable …,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003089698-36/future-learning-ready-sheila-jagannathan
"L Morgenthaler, MD Barrett","Core to the learning day: the adaptive instructional system as an integrated component of brick-and-mortar, blended, and online learning",1,2021,International Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77857-6_26
"KK Seo, S Gibbons",Learning Technologies and User Interaction,1,2021,,api.taylorfrancis.com,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003089704&type=googlepdf
PK Paul,Digital Education: From the Discipline to Academic Opportunities and Possible Academic Innovations—International Context and Indian Strategies,1,2021,Digital Education for the 21st Century,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003180517-11/digital-education-discipline-academic-opportunities-possible-academic-innovations%E2%80%94international-context-indian-strategies-paul
AF Smeaton,Lifelogging as a memory prosthetic,1,2021,Proceedings of the 4th Annual on Lifelog Search …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3463948.3469271
"P Sáenz-Castro, D Vlachopoulos, S Fàbregues",Exploring the Relationship between Saber Pro Test Outcomes and Student Teacher Characteristics in Colombia: Recommendations for Improving Bachelor's Degree …,1,2021,Education Sciences,mdpi.com,https://www.mdpi.com/1259176
"O Salinas, F Riquelme, R Munoz, C Cechinel, ...",Can Analytics of Speaking Time Serve as Indicators of Effective Team Communication and Collaboration?,1,2021,X Latin American …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3488392.3488404
A Wilde,A Platform-Agnostic Model and Analysis of Learner Engagement within Peer Supported Digital Environments: FutureLearn MOOCs and PeerWise,1,2021,,eprints.soton.ac.uk,https://eprints.soton.ac.uk/457278/
"J López Zambrano, JA Lara Torralbo, ...",Early prediction of student learning performance through data mining: A systematic review,1,2021,…,redined.educacion.gob.es,https://redined.educacion.gob.es/xmlui/handle/11162/211835
"C Helbig, S Hofhues, M Egloffstein, ...",Digital transformation in learning organizations,1,2021,Digital Transformation …,library.oapen.org,https://library.oapen.org/bitstream/handle/20.500.12657/46121/2021_Book_DigitalTransformationOfLearnin.pdf?sequence=1#page=251
"A Münzner, N Bruckmoser, ...",Can I Code? User Experience of an Assessment Platform for Programming Assignments (Short Paper),1,2021,Second International …,drops.dagstuhl.de,https://drops.dagstuhl.de/opus/volltexte/2021/14234/
"SL Peng, RX Hao, S Pal",Proceedings of First International Conference on Mathematical Modeling and Computational Science: ICMMCS 2020,1,2021,,books.google.com,https://books.google.com/books?hl=en&lr=&id=v7osEAAAQBAJ&oi=fnd&pg=PR5&dq=%22learning+analytics%22+%22human+centered%22&ots=Zw_1DNZmR5&sig=x6yqolg3tRbOhnwUwd1OihCwUfI
"I Amarasinghe, D Hernández-Leo, ...",Deconstructing orchestration load: comparing teacher support through mirroring and guiding,1,2021,International Journal of …,Springer,https://link.springer.com/article/10.1007/s11412-021-09351-9
"O Gast, J Seifert, D Werth",Der Mensch im Fokus der digitalen Transformation des Lernens: Erfolgreiche Aus-und Weiterbildung im Unternehmen,1,2021,HMD Praxis der Wirtschaftsinformatik,Springer,https://link.springer.com/article/10.1365/s40702-021-00788-y
"S Paea, B Sharma, G Bulivou, MK Paea",Card Sorting: A new pedagogy for understanding challenges in Mathematics during Emergencies and Crises,1,2021,,researchsquare.com,https://www.researchsquare.com/article/rs-351612/latest.pdf
"M Teräs, A Silvola, H Teräs, S Hartikainen, ...",Learning analytics for students: synthesis of two user needs studies in Finnish higher education,1,2020,EdMedia+ Innovate …,learntechlib.org,https://www.learntechlib.org/p/217337/
"A Muslim, MA Chatti, M Guesmi",Open learning analytics: a systematic literature review and future perspectives,1,2020,Artificial Intelligence Supported …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-41099-5_1
"K Okoye, JT Nganji, S Hosseini",Learning analytics for educational innovation: A systematic mapping study of early indicators and success factors,1,2020,International Journal of Computer …,mirlabs.org,http://www.mirlabs.org/ijcisim/regular_papers_2020/IJCISIM_13.pdf
CC Haynes,"The role of self-regulated learning in the design, implementation, and evaluation of learning analytics dashboards",1,2020,Proceedings of the seventh ACM conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3386527.3406732
DD Zlota,The Readiness of Universities to Use Predictive Learning Analytics for Students' Retention and Academic Success,1,2020,"LOGOS, UNIVERSALITY, MENTALITY, EDUCATION …",ceeol.com,https://www.ceeol.com/search/article-detail?id=890217
